created,screenName,text,polarity
2018-03-28 0:25,laurachapnick,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird Ugh… https://t.co/rWu5snoOJo,Neutral
2018-03-28 0:24,mctango27,@slpng_giants @BankofAmerica @WellsFargo @jpmorgan @DeutscheBank @askRegions @BBT @synovus @FifthThird And when the… https://t.co/3y2Og5woFJ,Neutral
2018-03-28 0:22,slpng_giants,"These banks just threw a lifeline to bankrupted gunmaker Remington:
@BankofAmerica 
@WellsFargo 
@jpmorgan… https://t.co/5sutdeRcLJ",Positive
2018-03-28 0:17,MarisaKabas,"A great reminder for me to complete the process of leaving @BankofAmerica, since it actively funds gun companies.… https://t.co/MeNfZSg5hc",Positive
2018-03-27 23:09,PCPSMaxhelp,"Just a side RANT:

BB&amp;T is #Banking

When you have a problem with a @BBT , you call.

When you deal with BB&amp;T, you… https://t.co/xXCQDt4oRH",Neutral
2018-03-27 19:50,welpekatze,@BBT Set up my business account and ordered my first round of checks almost 2 months ago but haven’t received them… https://t.co/gvJiOlscYc,Neutral
2018-03-27 19:46,TheMindOfBA,@BBT It turns out this ENTIRE situation could have been avoided by someone with common sense according to the bank manager.,Positive
2018-03-27 19:45,TheMindOfBA,@BBT I have taken time off work to go into a branch. Which is the exact OPPOSITE of the reason we have mobile banking.,Positive
2018-03-27 19:05,PeopleFund,Ready to access your #credit report for #FREE? @BBT experts are here to help you! Register today… https://t.co/vRhUGXhLRO,Positive
2018-03-27 16:39,DrewLewis_,"How many banks call just to say happy birthday? Mine does! Thanks, @BBT. #BestBankinTown",Positive
2018-03-27 15:30,WifiOverThotss_,@BBT Has the best customer service teams ever!!!!,Neutral
2018-03-27 15:13,triadheart,Don't go mad- join us for the Winston-Salem Heart Ball! Register here https://t.co/8hFwbtBA5X @NovantHealth @BBT… https://t.co/iR0fOPBOBh,Neutral
2018-03-27 13:34,TheMindOfBA,@BBT That’s a lot of personal info to give you on an insecure platform. Considering the issue I have is with possible ID THEFT... no.,Negative
2018-03-27 11:22,LoveIsASaying,You rejected me from a secureed credit card? Wtf @bbt get c https://t.co/1a1odcpoCn,Neutral
2018-03-26 21:59,cbaum3,RT @CKnightsGM: The gang is all here! A peek inside the @whitesox clubhouse at @BBT Ballpark as @KnightsBaseball host the big club. #Knight…,Neutral
2018-03-26 21:39,TheMindOfBA,"@BBT You can ""help"" by fixing the PROBLEM.",Neutral
2018-03-26 21:13,torilampe,"“Due to previous refunds on ur account, we are not able to issue any additional overdraft fee refunds at this time.… https://t.co/LjtO9mY9K6",Positive
2018-03-26 19:35,dane811,@BBT How do I cancel an accidental (pending) double payment on a loan?  Current wait time is 18 minutes - I don't h… https://t.co/PJ2BXZf1EC,Negative
2018-03-26 16:50,CnmConsultants,Baseball season has arrived to the Queen City!!! @KnightsBaseball @whitesox @BBT https://t.co/F94mqRdgbY,Neutral
2018-03-26 15:59,__princesslay,@WWMariDora @BBT Oh trust me I see it.,Positive
2018-03-26 15:50,JeffMartinMedia,Thank you @BBT Branch #PompanoBeach 14th St for playing @easy931 during your workday.,Neutral
2018-03-26 15:40,WWMariDora,@BBT @TheMindOfBA Don’t ever bank with them. All they want to do is take your money. They are straight up crooks. S… https://t.co/6ihT4Ruvql,Positive
2018-03-26 15:39,WWMariDora,@BBT @KronosCifer Don’t ever bank with them. All they want to do is take your money. They are straight up crooks. S… https://t.co/IZ4mAuZynV,Positive
2018-03-26 15:39,WWMariDora,@BBT @__princesslay Don’t ever bank with them. All they want to do is take your money. They are straight up crooks.… https://t.co/xF3svAm9SA,Positive
2018-03-26 12:51,__princesslay,@BBT That’s ridiculous.,Neutral
2018-03-26 12:48,__princesslay,@BBT &amp; what’s the point of having overdraft protection if y’all are still going to charge me a returned item fee??,Positive
2018-03-26 12:47,__princesslay,@BBT Why did i get charged $2 for calling customer service? Why is that not free??,Neutral
2018-03-26 12:44,KronosCifer,@BBT How do I go about transferring money to my bank account in Germany?,Neutral
2018-03-26 12:24,irishcreammike,@CKnightsGM @KnightsBaseball @whitesox @BBT Is Giolito pitching tonight?,Neutral
2018-03-26 12:09,CKnightsGM,The gang is all here! A peek inside the @whitesox clubhouse at @BBT Ballpark as @KnightsBaseball host the big club.… https://t.co/IebegcIH9m,Neutral
2018-03-26 2:05,TheMindOfBA,"Ok @BBT manager wouldn't even get on the phone with me, but at least instructed the ""customer service"" rep to HELP… https://t.co/MPCu8ONE2s",Neutral
2018-03-26 1:38,TheMindOfBA,"Come on @BBT where are your fucking customer service reps??????  I'm sitting here on hold wasting my time, wasting… https://t.co/YuYDUKWioO",Neutral
2018-03-26 1:35,TheMindOfBA,"Seriously @BBT you have OFFICIALLY wasted 20 minutes of my time tonight, AND COUNTING. SO DONE WITH YOUR WHOLE COMPANY",Neutral
2018-03-26 1:32,TheMindOfBA,"Looks like @BBT wins the award tonight for WORST CUSTOMER SERVICE EVER. Seriously, you've locked ME out of MY accou… https://t.co/PJ7xFJu2Ei",Positive
2018-03-25 18:32,mattklaman,so mad my company switched to @BBT plantrac for our 401k. such a shitty user experience. ugh.,Negative
2018-03-25 0:54,torilampe,@BBT HUNDREDS of $$$$ in overdraft fees in one week and this is not the first time.... could you do me a HUGE favor… https://t.co/AxFAI4BXP9,Neutral
2018-03-25 0:03,Edwardsinchains,All of these @BBT screw ups are getting real old.,Positive
2018-03-24 22:17,laulaurlaurie,It’s #oneterritory tonight at the @BBT center.  #LetsGoPanthers! @FlaPanthers @NHL https://t.co/GNr000Sgq1,Neutral
2018-03-24 17:43,liveformark,@lukecombs need help. Had to work when you were @thestonepony on my birthday. I'd love to see you and @AldeabJason… https://t.co/sEmqPJaUj4,Neutral
2018-03-24 16:56,__princesslay,@BBT Done with y’all. Worst bank EVER<U+203C><U+FE0F>,Neutral
2018-03-24 12:57,CW_Money,@BBT has a robust bank card program that could fully service the US government’s needs! https://t.co/t9cPXQyv2v,Positive
2018-03-24 5:24,JeffMartinMedia,@BBT Trying to report a lost card. Your automated phone system DOWN.,Negative
2018-03-24 1:40,TeamHuda,@BBT Yeah refund me my overdraft fee because I’m opted out of recurring payments &amp; everyday transactions.,Neutral
2018-03-23 22:53,plynne_writes,"@sailorscorpio @BBT Yeah, it was back in January. Not the best start to the year. Thanks.",Neutral
2018-03-23 22:02,sailorscorpio,"@plynne_writes @BBT Oh no! I knew I missed a lot, but that's heartbreaking to learn you lost your brother! Cancer s… https://t.co/uAhCHlwmjx",Negative
2018-03-23 21:38,CW_Money,"RT @BBT: #ProTip: Protect your personal information by shredding bank statements, tax returns and any other financial information. Not sure…",Neutral
2018-03-23 19:58,plynne_writes,@BBT It's be from Knox Law and Amy Elkins is the person to talk to.,Neutral
2018-03-23 19:57,plynne_writes,@BBT You can talk to my lawyer. Just find the denial of claim she sent you and call her.,Negative
2018-03-23 19:49,livingroomatl,We kicked off our GET SET series to provide financial and budgeting tips to our clients.  Big thanks our friends at… https://t.co/uIp2C26mcl,Positive
2018-03-23 19:47,plynne_writes,"Seriously, @BBT, you know he's dead. This crap is highly insensitive. YOU THINK I WANTED MY BROTHER TO DIE OF CANCE… https://t.co/imBmv7H2eU",Neutral
2018-03-23 19:37,RuckMania,@KnightsBaseball @SCviaDC @BBT That cap is SICK,Neutral
2018-03-23 19:36,plynne_writes,"Hey @BBT, you repossessed my deceased brother's car. Why am I still get loan statements? Again, he tried REALLY har… https://t.co/4MqfaIvAPj",Neutral
2018-03-23 19:28,WifiOverThotss_,@BBT Tired of excuses just need answers,Negative
2018-03-23 18:55,PeopleFund,#FREE #credit review is open to everyone on April 21st! Experts from @BBT will answer questions in a private 1:1 co… https://t.co/mtg7f7ZQlf,Positive
2018-03-23 18:52,CW_Money,RT @BBT: Ask yourself these 37 questions and discover your callings: https://t.co/1WoqdpFH2b https://t.co/rX1c1fAGBc,Neutral
2018-03-23 18:19,ncmvhof,@BBT Thank you as well! We were asking incase there was information we could set out or share at our statewide events.,Neutral
2018-03-23 17:59,ncmvhof,@BBT Is there a special plan for military and military families?,Positive
2018-03-23 17:26,WifiOverThotss_,@BBT why u guys ignoring my dm.,Neutral
2018-03-23 17:13,TeeMackk10,"@BBT LaTasha Smith
Charlotte NC
704 769 1545",Neutral
2018-03-23 17:11,TeeMackk10,@BBT Is this tweet directly to you now?,Neutral
2018-03-23 17:10,TeeMackk10,@BBT I'm not sure how to DM (direct message),Positive
2018-03-23 16:28,rmg6,@BBT I still want the account but it’s been impossible to set up,Negative
2018-03-23 16:17,rmg6,@BBT shame that your customer service would rather let me cancel my new account request rather than try to resolve the issue.  <ed><U+00A0><U+00BE><ed><U+00B4><U+00A8><ed><U+00A0><U+00BE><ed><U+00B4><U+00A8><ed><U+00A0><U+00BE><ed><U+00B4><U+00A8>,Neutral
2018-03-23 15:54,TWhizzy1,@BBT Where can I find the IBAN number for BB&amp;T?? New employer needs it for my banking info.,Neutral
2018-03-23 15:28,WB299,Sent them information by mail three times. Uploaded to their website once. Yet @BBT still can’t find it. #Incompetence,Neutral
2018-03-23 15:25,WB299,What an absolute level of incompetence demonstrated by @BBT not sure they could find their backside with both hands https://t.co/jirEjnBMmz,Neutral
2018-03-23 15:13,standupstepdown,There's been great reporting about banks' links to guns by @jeisrael @kira_lerner @thinkprogress:… https://t.co/2Tf8rEGkpc,Positive
2018-03-23 15:03,kayla_wiley11,@BBT please fix your Mobile deposit services. I’m just a broke college student who would like her money<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral
2018-03-23 14:54,ElCabaIIo,@BBT What is the number for your claims department?,Neutral
2018-03-23 13:12,nathanielhegyes,"@BBT The problem is I don’t remember my pin, and when after i tried it 3 times it just said, please speak to a repr… https://t.co/x5sydOSxl3",Neutral
2018-03-23 12:50,DaleFickett,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/9Qkfrgiofj",Neutral
2018-03-23 12:47,nathanielhegyes,@BBT It wasn’t the wait time that bothered me.  It was trying to figure out how to speak to a representative.  It k… https://t.co/6fhgfdVQou,Negative
2018-03-23 12:45,1MillionCupsRVA,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/Zz5kQ9EQNp",Neutral
2018-03-23 12:45,RVAWorks,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/qQ4fvBBBDU",Neutral
2018-03-23 11:00,TanyaBankTech,"RT @FinTech_Futures: All hail @ThePSR, @BBT and @n26 - all part of this week's top five #fintech stories: https://t.co/3Z8YmqViR8 #innovati…",Positive
2018-03-23 8:24,FinTech_Futures,"All hail @ThePSR, @BBT and @n26 - all part of this week's top five #fintech stories: https://t.co/3Z8YmqViR8… https://t.co/RctpC2DGnp",Positive
2018-03-23 2:27,ReV_HiDOG,So I need a new bank @bbt is trying to make me do so much stupid crap  for them to fix a problem I made aware to them,Negative
2018-03-23 0:35,DaleFickett,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/Hws8oHV8Z4",Neutral
2018-03-23 0:35,RVAWorks,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/MJKdk3snIm",Neutral
2018-03-23 0:35,1MillionCupsRVA,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/tloqsY8vXV",Neutral
2018-03-23 0:34,emilysharprains,"RT @DaleFickett: Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant services and…",Neutral
2018-03-23 0:33,DaleFickett,"Talking mentorship and business relationships with Steven Valdez of @RichmondFed 

Deposit accounts, merchant servi… https://t.co/TwEZS0xxt0",Neutral
2018-03-23 0:12,TeamHuda,@BBT YALL ARE really the worst bank with the worst customer service. I’m heated,Negative
2018-03-22 23:30,nathanielhegyes,@BBT literally the worst phone calling system.  This sucks.  Can you make it more user friendly.  Just took way to… https://t.co/TMvT5BrHAG,Negative
2018-03-22 22:50,MannyOhonme,RT @Samaritans_Feet: We are so grateful for @BBT and love this moment with their CEO Kelly King. Thank you for helping us create a world wi…,Positive
2018-03-22 21:37,MDDailyRecord,"Thanks to the Influential Marylanders Reception Sponsor, @bbt. Naturally, they have chosen the signature drink, the… https://t.co/1nYIUK7Avq",Neutral
2018-03-22 20:54,sharlow_2,@BBT Thank you.,Neutral
2018-03-22 20:27,sharlow_2,"@BBT 4/4 I would hate to have to resort to the customer service adage that ""One pissed off customer tells ten"" and… https://t.co/XaMSsUgLOV",Neutral
2018-03-22 20:25,sharlow_2,@BBT 3/4 NO. Disputing the transaction with the payee is not acceptable.  Please provide me with the requested phone number.,Neutral
2018-03-22 20:25,sharlow_2,@BBT 2/4 So she '4got' to have me (the uneducated consumer) to sign a paper. Today I find out that once again u ove… https://t.co/q3ZfAPXGTj,Neutral
2018-03-22 20:23,sharlow_2,"1/4 @BBT  I. Am. Livid. 
Twice your bank has screwed up and twice I've paid the price. Most recently your girl at C… https://t.co/umSur9spg6",Neutral
2018-03-22 20:04,sdhpu,@BBT Let your senior Mgmt know we will be filling a complaint with the AGs office and calling Thom Tillis which sit… https://t.co/NYQ2PFmn4b,Neutral
2018-03-22 19:46,sdhpu,@BBT Did you receive her email? She sent to your attention. From Initials MG.,Neutral
2018-03-22 17:03,ncbiznews,"BB&amp;T CEO King received 9.2% bump in compensation in 2017 @BBT
by @talkingbiznews 
https://t.co/qAMM1LHn5n https://t.co/vO08Rj0Ym4",Neutral
2018-03-22 14:14,BBT,RT @SCviaDC: Prizes for finding @CLTKnightsHomer on Where's Homer Wednesday! Thanks @KnightsBaseball and @BBT! https://t.co/lO34zqTSwD,Neutral
2018-03-22 14:14,BBT,"RT @KnightsBaseball: .@SCviaDC is our winner of the first ""Where's Homer Wednesday"" contest presented by @BBT. 

Be on the lookout next mon…",Neutral
2018-03-22 14:14,BBT,RT @KnightsBaseball: .@CLTKnightsHomer is having fun today at the @BBT located at 9200 S. Tryon St. in #SteeleCreek! #WHW https://t.co/8zqt…,Positive
2018-03-22 14:09,triadheart,Don't be late for a very important date! RSVP using this link by April 6th! https://t.co/31BTBQFC8y @NovantHealth… https://t.co/zyHy3tV2Aa,Positive
2018-03-22 9:03,therosegawden,I don’t think I can go back to sleep because @BBT keeps causing me pain and suffering and clearly wants to see me lose,Negative
2018-03-22 8:23,therosegawden,"I swear @BBT is determined to ruin my life, I’m getting so tired of them playing with my account like this",Negative
2018-04-10 21:39,timeforainz,"RT @simplywenwen: [TRANS] 180410 BBT Official Weibo Update:

#BBT subunit BBT-E (Extra)! At the same time the E comes from BOOGIE E Wang Zi…",Neutral
2018-04-10 21:38,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/Unyohh6dbI,Neutral
2018-04-10 19:36,danieljoxk,RT @Cdow24: Can’t wait for this season with my brothers<ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BD><ed><U+00B2><U+0089><ed><U+00A0><U+00BE><ed><U+00B5><U+00A4> #FWMJ #BBT,Neutral
2018-04-10 18:57,LPSurgeons,"No if, ands, or butts! <ed><U+00A0><U+00BC><ed><U+00BD><U+0091>Brazillian butt lifts are our specialty here at Lexington Plastic Surgeons! Call today (888… https://t.co/LETihFHqse",Neutral
2018-04-10 18:04,wangziyi960713,"RT @simplywenwen: 180410 Sun Haoran Weibo Update:

&lt;<U+6162><U+70ED><U+5C0F><U+5B69>&gt; ‘Shy Kids’ set sail again

#WangZiyi #SunHaoran #LinHaokai #LiZhijie #IdolProduce…",Neutral
2018-04-10 17:11,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/I9YJrhTC1H,Neutral
2018-04-10 17:11,_PIF64_TY,RT @darksidebaybay: #BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/diW5rsajLv,Neutral
2018-04-10 17:11,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/8lXdH5wPzo,Neutral
2018-04-10 17:11,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/cBUxyMtefB,Neutral
2018-04-10 17:11,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/rAeeUBp4VG,Neutral
2018-04-10 17:11,darksidebaybay,#BBT @ officialmintlounge Thursday’s nights. $75 dollars Hennessy and $6 dollars patron shots.… https://t.co/diW5rsajLv,Neutral
2018-04-10 13:47,parthibhan_s,@bigbangtheory Is Young Sheldon's father the same bully who tortured Leonard <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I just noticed #BBT,Negative
2018-04-10 13:05,kunkunismine,"RT @simplywenwen: 180409 BBT Official Weibo Update:

#BBT-E new release 2018.04.10 &lt;<U+6162><U+70ED><U+5C0F><U+5B69>&gt; Feat: NINE PERCENT’s Wang Ziyi! It’s a new beginn…",Neutral
2018-04-10 12:06,Cdow24,Can’t wait for this season with my brothers<ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BD><ed><U+00B2><U+0089><ed><U+00A0><U+00BE><ed><U+00B5><U+00A4> #FWMJ #BBT,Neutral
2018-04-10 10:55,Slvbabe1,"GM #Tweepz #Tweeps 
Nxt Lvl Comm: ^SDEFSR 
American &amp; Proud Of *IT
1PLPB1 #BBT BGTEO *E1T1
Flawless Productions *In… https://t.co/MMR92xNiT8",Neutral
2018-04-10 10:32,RatingsNetwork,Piper Jaffray Lowers BB&amp;T Q1 2018 Earnings Estimates to $0.91 EPS (Previously $0.92). https://t.co/kEG3amdxKm $BBT #BBT,Neutral
2018-04-10 9:13,richhouse7,"#Black #Beard #Token #BBT #Is #Live #Airdrop #One and tag 7 followers 

https://t.co/b9SOjVkqod … https://t.co/Um3qLAY6Gg",Neutral
2018-04-10 9:09,micopper2534,#Black #Beard #Token #BBT #Is #Live #Airdrop #One and tag 7 followers   https://t.co/mYUyG31x88 … https://t.co/sjNZyCey8i,Neutral
2018-04-10 8:50,NipsNipsy,"#BBT #BigBangTheory #Bazinga #FanArt #Artwork #Series #Nerds #Geeks #Comedy #Universe
.
Artist… https://t.co/B5MEQqB3EA",Neutral
2018-04-10 6:14,simplywenwen,"180410 Sun Haoran Weibo Update:

&lt;<U+6162><U+70ED><U+5C0F><U+5B69>&gt; ‘Shy Kids’ set sail again

#WangZiyi #SunHaoran #LinHaokai #LiZhijie… https://t.co/wlmOFdE3XW",Neutral
2018-04-10 4:31,simplywenwen,"[TRANS] 180410 BBT Official Weibo Update:

#BBT subunit BBT-E (Extra)! At the same time the E comes from BOOGIE E W… https://t.co/VpeGIQ9ked",Neutral
2018-04-10 0:30,NeverKnitDrunk,"*runs to Google to find Dwayne ""The Lizard"" Johnson and Dwayne ""The Spock"" Johnson*

#BBT… https://t.co/xrSv6ARANc",Neutral
